frame_index,start_time,rms,zcr,centroid,bandwidth,rolloff,avg_energy
0,0.0,0.15833376,0.12062872023809523,2556.295094126684,2642.296013223834,5292.041015625,0.02506958
1,0.9752380952380952,0.15850031,0.11839657738095238,2639.9504589133467,2645.7949753868356,5475.5859375,0.02512235
2,1.9504761904761905,0.1605489,0.11507161458333333,2626.342556051923,2642.7992203507297,5458.6669921875,0.025775947
3,2.9257142857142857,0.15174113,0.11474609375,2663.7671095987043,2681.00172521711,5553.0029296875,0.023025371
4,3.900952380952381,0.16231465,0.10884021577380952,2575.9954667322486,2653.599425460141,5370.99609375,0.026346048
5,4.876190476190477,0.1739132,0.11558314732142858,2451.4339820934956,2583.125371106894,5002.880859375,0.030245801
6,5.851428571428571,0.16369918,0.11056082589285714,2457.445919629793,2586.3767122033364,5036.71875,0.026797423
7,6.826666666666667,0.1607526,0.10749162946428571,2468.21017487361,2607.8583367928613,5168.994140625,0.025841394
8,7.801904761904762,0.15385152,0.10337611607142858,2503.034647927041,2675.009194401605,5333.056640625,0.02367029
9,8.777142857142858,0.16399464,0.1015625,2509.817992703447,2700.6312516263606,5459.6923828125,0.02689424
10,9.752380952380953,0.1684112,0.10602678571428571,2546.604411948284,2746.849046424089,5689.3798828125,0.028362328
11,10.727619047619047,0.16041549,0.10911923363095238,2579.414837702321,2743.6722170610583,5699.12109375,0.025733128
12,11.702857142857143,0.1785322,0.11551339285714286,2457.0124803413805,2590.8261091757818,5155.6640625,0.031873748
13,12.678095238095239,0.19241384,0.11388578869047619,2431.4350993936087,2566.5770455950587,5109.0087890625,0.037023082
14,13.653333333333334,0.16545753,0.09809802827380952,2495.789177418923,2699.6046363853584,5520.703125,0.027376197
15,14.628571428571428,0.13947524,0.08161272321428571,2573.0951374619517,2844.3802276616257,5925.2197265625,0.019453341
16,15.603809523809524,0.15702662,0.09256417410714286,2580.829171637859,2772.0539829912364,5795.5078125,0.02465736
17,16.579047619047618,0.1560406,0.12462797619047619,2815.901457266722,2922.439923484915,6529.1748046875,0.024348667
18,17.554285714285715,0.1482752,0.11030505952380952,2837.1711833277127,2964.3068797326537,6678.369140625,0.021985535
19,18.52952380952381,0.16170254,0.09970238095238096,2630.3734518840797,2763.0203255901642,5816.015625,0.026147712
20,19.504761904761907,0.1603327,0.10135323660714286,2571.740354877326,2753.229835967608,5761.1572265625,0.025706574
21,20.48,0.14891039,0.09702845982142858,2626.516234198711,2865.9482194466714,6098.5107421875,0.022174304
22,21.455238095238094,0.14894065,0.10293433779761904,2691.5101524595343,2850.1421940005653,6093.3837890625,0.022183316
23,22.430476190476192,0.1552292,0.10586402529761904,2634.5869190662715,2744.757045152612,5807.2998046875,0.024096105
24,23.405714285714286,0.1477037,0.10386439732142858,2649.3644297818246,2739.513223217702,5779.1015625,0.021816384
25,24.38095238095238,0.14307657,0.10425967261904762,2744.626676365873,2791.766291245382,5988.28125,0.020470904
26,25.356190476190477,0.14747983,0.12241908482142858,2827.166699973643,2841.3751583018307,6224.6337890625,0.021750301
27,26.33142857142857,0.15648727,0.1251162574404762,2735.9139456845587,2812.0347819640956,6059.033203125,0.024488267
28,27.30666666666667,0.15550649,0.12076822916666667,2725.6978762341587,2797.4583382554374,5977.001953125,0.024182271
